Date,SPX Index,USGG10YR Index,CL1 Comdty,lbustruu index,MXEF Index,JPY Curncy,GC1 Comdty,SPX Volume
2/1/02,1122.2,4.99,20.38,1019.44,327.03,133.07,286,9353584768
2/8/02,1096.22,4.88,20.26,1022.83,324.85,134.71,303.5,10005507328
2/15/02,1104.18,4.88,21.5,1025.13,334.42,132.61,298.4,7766831872
2/22/02,1089.84,4.83,21.07,1027.1,326.82,134.15,293.2,7313555968
3/1/02,1131.78,4.98,22.4,1022.98,336.7,133.46,298.4,8853643264
3/8/02,1164.31,5.33,23.84,1011.46,346.71,128.65,290.3,10059292672
3/15/02,1166.16,5.33,24.51,1009.41,346.7,129,290.1,8364100224
3/22/02,1148.7,5.4,25.35,1008.46,351.31,132.88,297.6,7559038336
3/29/02,1147.39,5.4,26.31,1010.21,351.43,132.73,302.6,5664713984
4/5/02,1122.73,5.21,26.21,1020.26,354.58,131.58,300.1,7363832448
4/12/02,1111.01,5.16,23.47,1022.86,352.31,131.96,302.1,8514409856
4/19/02,1125.17,5.2,26.38,1025.24,363.42,130.36,302.3,8166375808
4/26/02,1076.32,5.05,27.11,1030.85,358.17,127.87,311.6,8999185152
5/3/02,1073.43,5.05,26.62,1031.42,354.06,127.01,312.5,10053842048
5/10/02,1054.99,5.12,27.99,1031.03,349.25,127.59,311.3,9304114944
5/17/02,1106.59,5.25,28.18,1026.76,360.73,125.98,310.9,8975327232
5/24/02,1083.82,5.14,25.88,1033.26,356.52,124.73,320.7,6587024384
5/31/02,1067.14,5.04,25.31,1038.55,346.28,124.22,326.5,5333636096
6/7/02,1027.53,5.07,24.75,1038.06,340.31,124.33,324.6,9112332544
6/14/02,1007.27,4.8,25.94,1049.22,336.24,124.13,319.1,8893863168
6/21/02,989.14,4.77,25.82,1050.82,324.11,121.11,324.6,8747878144
6/28/02,989.81,4.8,26.86,1047.53,319.75,119.47,313.9,10662775296
7/5/02,989.03,4.86,26.8,1046.41,326.21,120.43,311.3,6260159808
7/12/02,921.39,4.57,27.48,1058.78,328.12,116.88,315.9,9835630464
7/19/02,847.76,4.52,27.83,1059.89,321.25,115.88,323.9,12221971584
